City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,nicoya,10.1483,-85.452,73.18,97,100,2.1,CR,1731291012
110,vize,41.5725,27.7658,41.74,89,100,4.21,TR,1731291014
111,tevriz,57.509,72.4042,17.2,89,100,10.16,RU,1731291015
112,west island,-12.1568,96.8225,80.58,83,100,13.8,CC,1731291016
113,luderitz,-26.6481,15.1594,56.23,87,0,15.7,NA,1731291017
114,tralee,52.2704,-9.7026,44.33,94,55,3.42,IE,1731291018
115,ust'-barguzin,53.45,108.9833,18.68,71,8,4.36,RU,1731291020
116,bridgewater,44.3835,-64.5155,42.12,82,74,4.0,CA,1731291021
117,ancud,-41.8697,-73.8203,46.27,76,8,8.5,CL,1731291022
118,bubaque,11.2833,-15.8333,85.08,61,0,3.67,GW,1731291023
119,namibe,-15.1961,12.1522,67.75,73,65,2.73,AO,1731291024
120,zhangye,38.9342,100.4517,45.97,40,12,9.17,CN,1731291026
121,miandoab,36.9694,46.1027,48.56,72,98,3.69,IR,1731291027
122,sitka,57.0531,-135.33,48.09,57,40,17.27,US,1731291028
123,omidiyeh,30.7597,49.705,66.07,52,0,2.3,IR,1731291029
124,puerto ayora,-0.7393,-90.3518,71.55,87,82,3.0,EC,1731291030
125,arkhangel'sk,64.5401,40.5433,37.51,100,100,11.18,RU,1731291032
126,bodo,67.28,14.405,35.64,75,20,12.66,NO,1731291033
127,canutama,-6.5339,-64.3831,75.51,89,92,2.01,BR,1731291034
128,bemidji,47.4736,-94.8803,47.17,87,100,18.41,US,1731291038
129,celestun,20.8667,-90.4,79.34,86,78,2.28,MX,1731291039
130,ola,59.5833,151.2833,18.03,76,100,23.47,RU,1731291040
131,north bend,43.4065,-124.2243,57.11,88,100,4.61,US,1731291042
132,rikaze,29.25,88.8833,37.31,56,0,2.71,CN,1731290768
133,klyuchi,52.2667,79.1667,32.22,97,100,15.7,RU,1731291044
134,las animas,-39.8087,-73.2182,46.54,100,8,2.24,CL,1731291045
135,ulladulla,-35.35,150.4667,66.27,69,100,3.62,AU,1731291046
136,isafjordur,66.0755,-23.124,37.31,81,56,26.71,IS,1731291048
137,alice springs,-23.7,133.8833,76.55,61,73,8.05,AU,1731290924
138,omamacho-omama,36.4333,139.2833,68.36,48,91,3.06,JP,1731291050
139,puerto aysen,-45.4,-72.7,43.21,100,100,4.79,CL,1731291051
140,thompson,55.7435,-97.8558,26.94,84,24,4.56,CA,1731291054
141,rudnichnyy,59.617,52.4703,22.48,85,21,5.46,RU,1731291055
142,bredasdorp,-34.5322,20.0403,56.77,87,61,3.74,ZA,1731291056
143,yaren,-0.5472,166.916,82.98,68,0,10.96,NR,1731291057
144,mirny,62.5353,113.9611,1.35,98,99,4.99,RU,1731291059
145,happy valley-goose bay,53.3168,-60.3315,33.1,62,17,10.78,CA,1731291060
146,tolanaro,-25.0319,46.9987,71.51,90,19,6.53,MG,1731291061
147,el calafate,-50.3408,-72.2768,46.0,74,92,9.64,AR,1731291062
148,itoman,26.1247,127.6694,82.78,78,20,10.36,JP,1731291064
149,yamada,39.4667,141.95,64.18,35,9,1.19,JP,1731291065
150,velikiy ustyug,60.7644,46.3106,32.04,85,95,6.98,RU,1731291066
151,aykhal,66.0,111.5,5.11,96,100,6.98,RU,1731291067
